trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
288,False,"{'a': 0.01, 'e': 0.05557621261148306}",20,0,31.74677835428183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.01, 'e': 0.05502322005640723}",25,7,23.416677772464176,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05447572986918986}",30,22,14.66289211231446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.05393368730035602}",25,15,-28.25744663381392,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
292,False,"{'a': 0.01, 'e': 0.053397038145197084}",20,7,14.72632586152646,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05286572873835037}",20,13,13.795918077936665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.05233970594843238}",25,12,9.057776829313768,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.05181891717272583}",35,19,25.562043580623982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05130331033191911}",25,20,7.963843353270944,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.0507928338648985}",30,22,15.486885259344108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,0,30.073836617122144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
299,False,"{'a': 0.01, 'e': 0.049787068367863944}",20,6,21.658237325505382,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,19,12.093696203778384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,21.81944726428549,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,2,31.1909286030612,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,23.43392496974237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,15.62233784040208,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,25.954771847889997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,13.637141724749526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,12.665938054219609,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,25.104845694021236,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,19,10.563671078364656,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
